"Date","Price","Open","High","Low","Vol.","Change %"
"03/01/2026","6,745.13","6,824.36","6,901.01","6,736.18","","-1.94%"
"02/01/2026","6,878.88","6,916.64","6,993.48","6,775.50","","-0.87%"
"01/01/2026","6,939.03","6,878.11","7,002.28","6,789.05","","1.37%"
"12/01/2025","6,845.50","6,812.30","6,945.77","6,720.43","","-0.05%"
"11/01/2025","6,849.09","6,882.32","6,882.32","6,521.92","","0.13%"
"10/01/2025","6,840.20","6,664.92","6,920.34","6,550.78","","2.27%"
"09/01/2025","6,688.46","6,401.51","6,699.52","6,360.58","","3.53%"
"08/01/2025","6,460.26","6,287.28","6,508.23","6,212.69","","1.91%"
"07/01/2025","6,339.39","6,187.25","6,427.02","6,177.97","","2.17%"
"06/01/2025","6,204.95","5,896.68","6,215.08","5,861.43","","4.96%"
"05/01/2025","5,911.69","5,625.14","5,968.61","5,578.64","","6.15%"
"04/01/2025","5,569.06","5,597.53","5,695.31","4,835.04","","-0.76%"
"03/01/2025","5,611.85","5,968.33","5,986.09","5,488.73","","-5.75%"
"02/01/2025","5,954.50","5,969.65","6,147.43","5,837.66","","-1.42%"
"01/01/2025","6,040.53","5,903.26","6,128.18","5,773.31","","2.70%"
"12/01/2024","5,881.63","6,040.11","6,099.97","5,832.30","","-2.50%"
"11/01/2024","6,032.38","5,723.22","6,044.17","5,696.51","","5.73%"
"10/01/2024","5,705.45","5,757.73","5,878.46","5,674.00","","-0.99%"
"09/01/2024","5,762.48","5,623.89","5,767.37","5,402.62","","2.02%"
"08/01/2024","5,648.40","5,537.84","5,651.62","5,119.26","","2.28%"
"07/01/2024","5,522.30","5,471.08","5,669.67","5,390.95","","1.13%"
"06/01/2024","5,460.48","5,297.15","5,523.64","5,234.32","","3.47%"
"05/01/2024","5,277.51","5,029.03","5,341.88","5,011.05","","4.80%"
"04/01/2024","5,035.69","5,257.97","5,263.95","4,953.56","","-4.16%"
"03/01/2024","5,254.35","5,098.51","5,264.85","5,056.82","","3.10%"
"02/01/2024","5,096.27","4,861.11","5,111.06","4,853.52","","5.17%"
"01/01/2024","4,845.65","4,745.20","4,931.09","4,682.11","","1.59%"
"12/01/2023","4,769.83","4,559.43","4,793.30","4,546.50","","4.42%"
"11/01/2023","4,567.80","4,201.27","4,587.64","4,197.74","","8.92%"
"10/01/2023","4,193.80","4,284.52","4,393.57","4,103.78","","-2.20%"
"09/01/2023","4,288.05","4,530.60","4,541.25","4,238.63","","-4.87%"
"08/01/2023","4,507.66","4,578.83","4,584.62","4,335.31","","-1.77%"
"07/01/2023","4,588.96","4,450.48","4,607.07","4,385.05","","3.11%"
"06/01/2023","4,450.38","4,183.03","4,458.48","4,171.64","","6.47%"
"05/01/2023","4,179.83","4,166.79","4,231.10","4,048.28","","0.25%"
"04/01/2023","4,169.48","4,102.20","4,170.06","4,049.35","","1.46%"
"03/01/2023","4,109.31","3,963.34","4,110.75","3,808.86","","3.51%"
"02/01/2023","3,970.15","4,070.07","4,195.44","3,943.08","","-2.61%"
"01/01/2023","4,076.60","3,853.29","4,094.21","3,794.33","","6.18%"
"12/01/2022","3,839.50","4,087.14","4,100.96","3,764.49","","-5.90%"
"11/01/2022","4,080.11","3,901.79","4,080.11","3,698.15","","5.38%"
"10/01/2022","3,871.98","3,609.78","3,905.42","3,491.58","","7.99%"
"09/01/2022","3,585.62","3,936.73","4,119.28","3,584.13","","-9.34%"
"08/01/2022","3,955.00","4,112.38","4,325.28","3,954.53","","-4.24%"
"07/01/2022","4,130.29","3,781.00","4,140.15","3,721.56","","9.11%"
"06/01/2022","3,785.38","4,149.78","4,177.51","3,636.87","","-8.39%"
